Sample Location,Length (cm),Thickness (cm),Juv or Adult,,
Conch Sound,22.1,1.3,,,
Stafford Creek,17,1.1,,,
Grassy Creek,21.9,1.6,,,
Blazer Cay,20,2.1,,,
Conch Sound,22.5,3.8,,,
Young Sound,22.5,3.6,,,
Grassy Creek,20,2.3,,,
Mastic Bay,20.1,4.0,,,
Grassy Creek,20.5,2.3,,,
Grassy Creek,22,3.6,,,
Young Sound,20.3,1.4,,,
Young Sound,22,1.3,,,
Grassy Creek,24,4.6,,,
Conch Sound,22,3.9,,,
Conch Sound,21.9,2.3,,,
Grassy Creek,24.6,4.0,,,
Bowry Bay,19.2,2.7,,,
Grassy Creek,23.4,3.0,,,
Mastic Bay,20,1.9,,,
Conch Sound,21.5,1.1,,,
Grassy Creek,21,1.9,,,
Young Sound,22,2.4,,,
Mastic Bay,17.4,1.8,,,
Bowry Bay,18,1.8,,,
Young Sound,19,3.2,,,
Young Sound,21,1.2,,,
Grassy Creek,19.5,2.2,,,
Young Sound,21.7,2.6,,,
Blazer Cay,22.5,4.0,,,
Conch Sound,23.4,1.4,,,
Grassy Creek,22.5,2.9,,,
Stafford Creek,21,1.0,,,
Bowry Bay,22.5,2.7,,,
Blazer Cay,18,2.0,,,
Young Sound,22,2.0,,,
